Page Name,Section/Component,Element Name,Action Type,Trigger/Interaction,Expected Behavior,Key Output/Outcome,Handle Function,URL/Path,Auth/Admin Status
Body Types Page,Body Type Categories,Body Type Card,Click,User clicks body type category,Navigate to category page,Show bikes by category,Link navigation,/body-types/[type],No Auth
Body Types Category Page,Category Filters,Brand Filter,Click,User filters by brand within category,Filter category bikes by brand,Apply brand filter,handleBrandFilter,/body-types/[type],No Auth
Body Types Category Page,Category Results,Bike Card,Click,User clicks bike in category,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Comparison Bar,Global Comparison,Add to Compare Button,Click,User adds bike from any page,Add to global comparison,Update comparison state,addToComparison,Global,No Auth
Comparison Bar,Global Comparison,Remove from Compare Button,Click,User removes bike from comparison,Remove from global comparison,Update comparison state,removeFromComparison,Global,No Auth
Comparison Bar,Global Comparison,Compare Now Button,Click,User compares selected bikes,Navigate to comparison page,Show full comparison,Link navigation,/compare,No Auth
Comparison Bar,Global Comparison,Clear All Button,Click,User clears entire comparison,Reset comparison state,Clear all compared bikes,clearComparison,Global,No Auth
Admin Dashboard,Admin Login,Email Input,Input,Admin enters login email,Collect admin credentials,Store email for authentication,handleEmailChange,/admin/login,No Auth
Admin Dashboard,Admin Login,Password Input,Input,Admin enters password,Collect admin credentials,Store password for auth,handlePasswordChange,/admin/login,No Auth
Admin Dashboard,Admin Login,Login Button,Click,Admin submits login form,Authenticate admin user,Process admin login,handleAdminLogin,/admin/login,No Auth
Admin Dashboard,Dashboard Overview,Stats Cards,Display,Shows dashboard statistics,Display key metrics,Show admin statistics,Static display,/admin/dashboard,Admin Auth Required
Admin Dashboard,Dashboard Navigation,Sidebar Menu Items,Click,Admin clicks menu sections,Navigate to admin sections,Show different admin pages,Link navigation,/admin/[section],Admin Auth Required
Admin Dashboard,Dashboard Actions,Refresh Data Button,Click,Admin refreshes dashboard data,Reload dashboard statistics,Update displayed metrics,handleRefresh,/admin/dashboard,Admin Auth Required
Admin Dashboard,User Management,User List Table,Display,Shows registered users,Display user information,Show user data,Static display,/admin/users,Admin Auth Required
Admin Dashboard,User Management,User Actions,Click,Admin performs user actions,Execute user management tasks,Update user status,handleUserAction,/admin/users,Admin Auth Required
Admin Dashboard,Bike Management,Bike List Table,Display,Shows bike inventory,Display bike information,Show bike data,Static display,/admin/variants,Admin Auth Required
Admin Dashboard,Bike Management,Add/Edit Bike,Click,Admin manages bike data,Navigate to bike form,Show bike management form,Link navigation,/admin/variants/add,Admin Auth Required
Admin Dashboard,Brand Management,Brand List Table,Display,Shows brand information,Display brand data,Show brand details,Static display,/admin/brands,Admin Auth Required
Admin Dashboard,Brand Management,Add/Edit Brand,Click,Admin manages brand data,Navigate to brand form,Show brand management form,Link navigation,/admin/brands/add,Admin Auth Required
Admin Dashboard,Booking Management,Booking List Table,Display,Shows test ride bookings,Display booking information,Show booking data,Static display,/admin/bookings,Admin Auth Required
Admin Dashboard,Booking Management,Booking Actions,Click,Admin manages bookings,Execute booking actions,Update booking status,handleBookingAction,/admin/bookings,Admin Auth Required
Admin Dashboard,Content Management,News Management,Click,Admin manages news articles,Navigate to news section,Show news management,Link navigation,/admin/news,Admin Auth Required
Admin Dashboard,Content Management,Video Management,Click,Admin manages videos,Navigate to video section,Show video management,Link navigation,/admin/videos,Admin Auth Required
Admin Dashboard,Content Management,Web Stories Management,Click,Admin manages web stories,Navigate to stories section,Show story management,Link navigation,/admin/web-stories,Admin Auth Required
Admin Dashboard,Settings,Admin Settings,Click,Admin accesses settings,Navigate to settings page,Show admin configuration,Link navigation,/admin/settings,Admin Auth Required
Admin Dashboard,Header,Logout Button,Click,Admin logs out,Sign out of admin account,Clear admin authentication,handleAdminLogout,/admin/login,Admin Auth Required
Privacy Policy Page,Privacy Content,Policy Sections,Display,Shows privacy policy content,Display policy information,Show privacy details,Static display,/privacy-policy,No Auth
Privacy Policy Page,Privacy Content,Contact Information,Display,Shows contact details for privacy,Display contact info,Show contact methods,Static display,/privacy-policy,No Auth
Terms & Conditions Page,Terms Content,Terms Sections,Display,Shows terms and conditions,Display terms information,Show terms details,Static display,/terms-conditions,No Auth
Terms & Conditions Page,Terms Content,Agreement Information,Display,Shows user agreement,Display agreement details,Show legal terms,Static display,/terms-conditions,No Auth
Fuel Calculator Page,Calculator Tool,Distance Input,Input,User enters trip distance,Set calculation distance,Update calculation parameters,handleDistanceChange,/tools/fuel-calculator,No Auth
Fuel Calculator Page,Calculator Tool,Fuel Price Input,Input,User enters fuel cost per liter,Set fuel pricing,Update cost calculations,handleFuelPriceChange,/tools/fuel-calculator,No Auth
Fuel Calculator Page,Calculator Tool,Bike Mileage Input,Input,User enters bike mileage,Set fuel efficiency,Update efficiency calculations,handleMileageChange,/tools/fuel-calculator,No Auth
Fuel Calculator Page,Calculator Tool,Calculate Button,Click,User calculates fuel cost,Execute cost calculation,Show trip cost breakdown,handleCalculate,/tools/fuel-calculator,No Auth
Fuel Calculator Page,Calculator Results,Cost Breakdown Display,Display,Shows calculation results,Display fuel cost details,Show trip expenses,Static display,/tools/fuel-calculator,No Auth
Fuel Calculator Page,Best Mileage Bikes,Efficient Bike Cards,Click,User clicks fuel efficient bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Fuel Calculator Page,Trending Bikes,Trending Bike Cards,Click,User clicks trending bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Fuel Calculator Page,Two Wheeler News,News Article Cards,Click,User clicks news article,Navigate to news article,Show article details,Link navigation,/news/[slug],No Auth
Sitemap Page,Sitemap Content,Page Links,Click,User clicks sitemap links,Navigate to various pages,Show selected page,Link navigation,Various URLs,No Auth
Sitemap Page,Sitemap Sections,Category Links,Click,User clicks category sections,Navigate to category pages,Show category content,Link navigation,Various URLs,No Auth
Bikes Budget Page,Budget Filters,Price Range Selection,Click,User selects budget range,Filter bikes by budget,Show bikes in price range,handleBudgetFilter,/bikes/budget/[budget],No Auth
Bikes Budget Page,Budget Results,Budget Bike Cards,Click,User clicks budget bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Bikes Displacement Page,Engine Filters,Displacement Range,Click,User selects engine size,Filter bikes by displacement,Show bikes by engine size,handleDisplacementFilter,/bikes/displacement/[displacement],No Auth
Bikes Displacement Page,Engine Results,Displacement Bike Cards,Click,User clicks engine bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Bikes Mileage Page,Efficiency Filters,Mileage Range Selection,Click,User selects fuel efficiency,Filter bikes by mileage,Show fuel efficient bikes,handleMileageFilter,/bikes/mileage/[mileage],No Auth
Bikes Mileage Page,Efficiency Results,Mileage Bike Cards,Click,User clicks efficient bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Bikes Engine Type Page,Engine Category Filters,Engine Type Selection,Click,User selects engine category,Filter bikes by engine type,Show bikes by engine category,handleEngineTypeFilter,/bikes/engine-type/[engineType],No Auth
Bikes Engine Type Page,Engine Category Results,Engine Type Bike Cards,Click,User clicks engine type bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Bikes Type Page,Body Type Filters,Bike Category Selection,Click,User selects bike type,Filter bikes by body type,Show bikes by category,handleTypeFilter,/bikes/type/[type],No Auth
Bikes Type Page,Body Type Results,Type Bike Cards,Click,User clicks category bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Bikes Offers Page,Offer Listings,Bike Offer Cards,Click,User clicks offer bike,Navigate to bike with offer details,Show bike offer information,Link navigation,/bikes/[id],No Auth
Bikes Offers Page,Offer Filters,Offer Type Selection,Click,User filters by offer type,Filter bikes by offer category,Show filtered offers,handleOfferFilter,/bikes/offers,No Auth
Electric Charging Stations Page,Station Listings,Charging Station Cards,Click,User clicks charging station,Navigate to station details,Show station information,Link navigation,/electric/charging-stations/[id],No Auth
Electric Charging Stations Page,Station Filters,Location Filter,Click,User filters by location,Filter stations by area,Show filtered stations,handleLocationFilter,/electric/charging-stations,No Auth
Electric Charging Stations Page,Station Map,Map View Toggle,Click,User switches to map view,Show stations on map,Display map interface,setViewMode,/electric/charging-stations,No Auth
Finance Offers Page,Finance Deals,Finance Offer Cards,Click,User clicks finance offer,Navigate to offer details,Show financing details,Link navigation,/finance/offers/[id],No Auth
Finance Offers Page,Offer Filters,Interest Rate Filter,Click,User filters by interest rate,Filter offers by rate,Show filtered finance options,handleRateFilter,/finance/offers,No Auth
Finance Offers Page,Partner Offers,Bank Partner Cards,Click,User clicks bank partner,Navigate to partner details,Show partner information,Link navigation,/finance/partners/[id],No Auth
Admin Offers Management,Offers List,Offer Management Table,Display,Shows current offers,Display offer information,Show offer data,Static display,/admin/offers,Admin Auth Required
Admin Offers Management,Offer Actions,Add/Edit Offer,Click,Admin manages offers,Navigate to offer form,Show offer management form,Link navigation,/admin/offers/new,Admin Auth Required
Admin Specifications Management,Specs List,Specification Table,Display,Shows bike specifications,Display spec information,Show specification data,Static display,/admin/specifications,Admin Auth Required
Admin Specifications Management,Spec Actions,Add/Edit Specification,Click,Admin manages specifications,Navigate to spec form,Show specification form,Link navigation,/admin/specifications/new,Admin Auth Required
Admin Reviews Management,Reviews List,Review Management Table,Display,Shows user reviews,Display review information,Show review data,Static display,/admin/reviews,Admin Auth Required
Admin Reviews Management,Review Actions,Moderate Review,Click,Admin moderates reviews,Execute review actions,Update review status,handleReviewAction,/admin/reviews,Admin Auth Required
Admin Newsletter Management,Newsletter List,Newsletter Management Table,Display,Shows newsletter data,Display subscription information,Show newsletter stats,Static display,/admin/newsletter,Admin Auth Required
Admin Newsletter Management,Newsletter Actions,Send Newsletter,Click,Admin sends newsletter,Execute newsletter campaign,Send newsletter to subscribers,handleSendNewsletter,/admin/newsletter,Admin Auth Required
Admin Leads Management,Leads List,Lead Management Table,Display,Shows customer leads,Display lead information,Show lead data,Static display,/admin/leads,Admin Auth Required
Admin Leads Management,Lead Actions,Process Lead,Click,Admin processes leads,Execute lead actions,Update lead status,handleLeadAction,/admin/leads,Admin Auth Required
Admin Offer Leads Management,Offer Leads List,Offer Lead Table,Display,Shows finance offer leads,Display offer lead information,Show offer lead data,Static display,/admin/offer-leads,Admin Auth Required
Admin Offer Leads Management,Offer Lead Actions,Process Offer Lead,Click,Admin processes offer leads,Execute offer lead actions,Update offer lead status,handleOfferLeadAction,/admin/offer-leads,Admin Auth Required
Admin Image Management,Image Gallery,Image Upload Interface,File Upload,Admin uploads images,Add images to gallery,Store image data,handleImageUpload,/admin/images/upload,Admin Auth Required
Admin Image Management,Image Library,Image Management Grid,Display,Shows uploaded images,Display image library,Show image collection,Static display,/admin/images,Admin Auth Required
Admin Image Management,Image Actions,Delete/Edit Image,Click,Admin manages images,Execute image actions,Update image data,handleImageAction,/admin/images,Admin Auth Required
Admin Dealers Management,Dealers List,Dealer Management Table,Display,Shows dealer information,Display dealer data,Show dealer details,Static display,/admin/dealers,Admin Auth Required
Admin Dealers Management,Dealer Actions,Add/Edit Dealer,Click,Admin manages dealers,Navigate to dealer form,Show dealer management form,Link navigation,/admin/dealers/new,Admin Auth Required
Admin Models Management,Models List,Model Management Table,Display,Shows bike models,Display model information,Show model data,Static display,/admin/models,Admin Auth Required
Admin Models Management,Model Actions,Add/Edit Model,Click,Admin manages models,Navigate to model form,Show model management form,Link navigation,/admin/models/new,Admin Auth Required
Auth Callback Page,OAuth Processing,Authentication Handler,Auto Process,OAuth callback processing,Process authentication result,Complete OAuth flow,handleAuthCallback,/auth/callback,No Auth
Auth Callback Page,Loading State,Redirect Message,Display,Shows processing message,Display loading state,Show authentication progress,Static display,/auth/callback,No Auth
